,prompt,response,profileId,targetAgeGroup,genderIdentity,educationBackground,targetProfession,digitalLiteracy,geoRegion,householdIncomeStatus,targetRole,promptIntentType,reasoningComplexity,geographicContext,sensitiveInformationPresent,vulnerableGroupTargeted,confidenceScore,serviceDomain,subServiceDomain,topic,pageURL,sourceURL,sourceDomain,sourceLicense,documentType,dateCreated,language,inputFile
19385,"I'm a retired woman in Scotland and I want to start a small business. Do I need to appoint a company secretary, and what are my responsibilities as a director?","As a director of a limited company in Scotland, you are responsible for managing the company's affairs and ensuring compliance with legal requirements. While you must appoint a director, you do not have to appoint a company secretary. However, you should understand your duties, which include keeping accurate records, preparing financial statements, and ensuring the company complies with tax regulations. If you're unsure about your responsibilities, you can seek guidance from local business support services or consult with a professional accountant. Remember to maintain proper documentation and stay informed about your obligations as a director.",e93f2005cd,65+,female,tertiary,retired,medium,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.9,business,company registration,setting up a limited company,file:///media/volume/data4t/odi_datasets/scraped_content/target402.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target402.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target402.txt
4561,I have a disability and need extra help during a flood. How can I request this support?,"If you have a disability, contact your local council to inquire about additional assistance during a flood. They can provide tailored support to meet your needs. Citizens Advice can also help ensure you receive necessary support if your energy supply is affected. Ask Floodline to send flood warnings to a friend or relative on your behalf if needed. Always communicate your specific requirements to relevant authorities to ensure adequate support.",f402fa507b,26-45,male,secondary,retail,high,England,above moderate,service-user,instructional,medium,UK-wide,False,True,0.9,environment,flooding,flooding preparation,file:///media/volume/data4t/odi_datasets/scraped_content/target1800.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1800.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1800.txt
3431,How can I find out more about the Blue Badge scheme in Scotland?,"To find out more about the Blue Badge scheme in Scotland, you should visit your local council's website. The Blue Badge scheme is managed by local authorities in Scotland, and they provide detailed information on eligibility, application processes, and parking rights. You can also contact your local council directly for assistance. They will be able to guide you through the scheme and answer any questions you may have.",1af7b105ed,26-45,female,secondary,teacher,medium,Scotland,above moderate,service-user,instructional,low,Scotland,False,True,0.9,Transportation,Disabled People,Blue Badge Scheme,file:///media/volume/data4t/odi_datasets/scraped_content/target1441.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1441.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1441.txt
3769,How do I get help with travel costs related to my disability for studying?,"If you need extra travel costs for your course due to a disability, you can apply for DSA. Your needs assessment will determine if you are eligible for this support. Once approved, the DSA will cover the travel costs as part of your entitlement. You should not make any travel arrangements until you have received your entitlement letter.",7d014852de,26-45,female,tertiary,retail,low,Wales,moderate,service-user,instructional,medium,UK-wide,False,True,0.95,education,student finance,Disabled Students' Allowance,file:///media/volume/data4t/odi_datasets/scraped_content/target1555.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1555.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1555.txt
9492,I'm running a small charity in Wales and I've been told I might need to file a tax return. What do I need to do and when should I submit it?,"If your charity has income that doesn't qualify for tax relief or you've spent money on non-charitable purposes, you need to complete a tax return. This should be done by the end of January following the tax year. You'll need to report all relevant income and expenses, and ensure you're compliant with HMRC requirements. It's important to keep accurate records of your finances throughout the year to support your tax return. You can find more information on the HMRC website or contact them directly for guidance.",07d6fecf4e,26-45,female,secondary,student,low,Wales,above moderate,service-user,procedural,medium,UK-wide,False,False,0.9,tax,charities,charities and tax,file:///media/volume/data4t/odi_datasets/scraped_content/target881.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target881.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target881.txt
19442,I need to understand what Corporation Tax is and how it applies to my business. What are the key points I should know?,"Corporation Tax is a tax that your business pays to HM Revenue and Customs (HMRC) on its profits during an accounting period. It applies to businesses such as limited companies, foreign companies with a UK branch, and unincorporated associations like clubs or cooperatives. The amount you pay depends on your profits, and you may be eligible for allowances and reliefs. You must report and pay Corporation Tax on trading profits, investments, and chargeable gains. If your business is UK resident, it pays tax on all profits, both domestic and international. If not, it only pays on UK-based profits. You need to register for Corporation Tax and manage it through your business tax account.",5e9535271d,65+,female,tertiary,teacher,high,England,moderate,service-user,informational,medium,UK-wide,False,False,0.95,tax,corporation tax,corporation tax overview,file:///media/volume/data4t/odi_datasets/scraped_content/target429.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target429.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target429.txt
11873,"If I receive Pension Credit, what other benefits or discounts am I entitled to and how do I apply for them?","If you receive Pension Credit, you may be eligible for additional benefits such as Housing Benefit, a Council Tax discount, or help with heating costs through the Warm Home Discount Scheme. You may also receive a free TV licence if you're aged 75 or over. To apply for these additional benefits, you should contact the relevant government department or service directly. It's important to inform them that you're receiving Pension Credit as this may affect your eligibility for other benefits.",c6b32ec393,46-65,male,tertiary,retired,high,Scotland,above moderate,service-user,instructional,medium,UK-wide,False,False,0.95,benefits,pension credit,benefits and financial support,file:///media/volume/data4t/odi_datasets/scraped_content/target199.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target199.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target199.txt
11262,I'm a nurse and I need to know how to calculate statutory maternity pay for an employee who has a very premature birth. What steps should I follow?,"To calculate statutory maternity pay (SMP) for an employee with a very premature birth, you need to use your payroll software if it has this feature, or calculate it manually. A very premature birth is defined as the child being born 15 weeks or more before the due date. You should inform the employee of the new end date for their leave and confirm it in writing. The SMP calculation remains the same as for a regular birth, with the first 6 weeks at 90% of their average weekly earnings and the remaining 33 weeks at £187.18 or 90% of their average weekly earnings, whichever is lower. Ensure you deduct tax and national insurance from the payments.",10ee70d582,46-65,male,secondary,nurse,low,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,employment,maternity leave,statutory maternity pay,file:///media/volume/data4t/odi_datasets/scraped_content/target1709.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1709.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1709.txt
4501,Are there any special considerations for seasonal agricultural work in Wales?,"Seasonal agricultural work in Wales requires a commitment to full-time employment, with the possibility of living on-site in employer-provided accommodation for a charge. The work involves physical tasks such as lifting and operating machinery, so it's important to be prepared for the demands of the job. Farms are responsible for ensuring safe working conditions, including clean premises and safe transport. It's advisable to check multiple job sources to find the best opportunities and to consider the location and travel arrangements when applying.",4f469b4479,26-45,male,secondary,retired,medium,Wales,above moderate,service-user,instructional,low,Wales,False,False,0.95,employment,agricultural_work,seasonal_work_on_farms,file:///media/volume/data4t/odi_datasets/scraped_content/target1788.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1788.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1788.txt
10294,"I received a letter inviting me to take a National Driver Offender Retraining Scheme course. How do I book and pay for the course, and what should I do before starting?","To book and pay for the National Driver Offender Retraining Scheme course, you need to contact the course provider directly. Your driving licence number is required to log in and check availability online. Before starting, ensure you have a letter inviting you to the course, as this is necessary to participate. Check your letter to confirm which course you are eligible for, as there are several options available. The course provider will set the final price, so contact them for detailed information on booking and payment.",cfa5a5704e,46-65,male,tertiary,student,medium,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.9,transport,driving,penalty points and driving bans,file:///media/volume/data4t/odi_datasets/scraped_content/target1264.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1264.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1264.txt
21299,I want to learn to tow a trailer. What are the steps I need to follow?,"To learn to tow a trailer, you need a full car licence (category B). If the trailer weighs more than 750kg, you must pass a trailer test. This test is conducted by an approved examiner and covers the skills needed to safely control your vehicle while towing. You can find more information on the GOV.UK website about towing with a car and the trailer test requirements.",607ad9421a,under18,male,secondary,nurse,high,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Transport,Driving Licences,Towing Requirements,file:///media/volume/data4t/odi_datasets/scraped_content/target1156.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1156.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1156.txt
20641,I need to apply for a needs assessment by social services for my disabled relative. How do I go about doing this and what information will I need to provide?,"To apply for a needs assessment by social services, you should contact your local council's social services department. They will guide you through the process and explain what information they require, such as your relative's medical history, current living situation, and any existing support they receive. It's important to provide accurate and detailed information to ensure the assessment is thorough. The council may also ask for references or other documentation to support your application. Starting the process early can help ensure your relative receives the appropriate support as quickly as possible.",b368dd8e61,65+,female,tertiary,teacher,low,England,moderate,service-user,procedural,medium,UK-wide,False,True,0.95,social_services,needs_assessment,disabilities_caring_for_someone,file:///media/volume/data4t/odi_datasets/scraped_content/target971.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target971.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target971.txt
16801,"If I buy a property with a structure on the River Thames, do I need to apply for a licence and what are the implications if I don't?","Yes, if you buy a property with a structure on the River Thames, you must apply for a River Thames accommodation licence. This licence is required for any structure built, changed, or retained on or in the river. The licence is valid until you move or change the structure, and you must display the licence plate on the structure. There is an annual fee due on 29 September each year, and licences cannot be transferred. Failing to obtain a licence could result in legal issues, as the Environment Agency can enforce compliance and take action against unlicensed structures.",2c856f0666,65+,male,secondary,teacher,medium,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Environment,Waterways,Boats and waterways,file:///media/volume/data4t/odi_datasets/scraped_content/target1738.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1738.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1738.txt
18710,I'm a migrant in the UK without permission to stay and I want to return home. How can I get help with travel documents and financial support?,"Yes, you can get help to return home if you don't have permission to stay in the UK. The voluntary returns service can explain your options for returning home, help you get travel documents like a passport, and pay for travel tickets if you can't afford them. You may also be eligible for up to £3,000 in financial support to help you find housing, a job, or start a business in your home country. Contact an immigration adviser for guidance on re-entry bans before applying.",15b4b2b54e,65+,male,tertiary,student,high,England,moderate,service-user,instructional,low,UK-wide,False,False,0.95,Immigration,Appeals and Status Problems,Voluntary Return,file:///media/volume/data4t/odi_datasets/scraped_content/target2602.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2602.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2602.txt
12431,I recently divorced and want to revert to my original name. Do I need a deed poll to update my documents and what proof do I need to show?,"If you're divorcing and want to revert to your original name, you may be able to update your documents without a deed poll by providing your marriage certificate and decree absolute to record-holders like benefits offices. However, some organisations might require a deed poll for formal name changes. If you choose to use a deed poll, you'll need to create one and submit it to relevant institutions to update your records. This ensures your name change is legally documented and accepted by official bodies. Always check with the organisation you're dealing with to see which proof they accept.",634138c3fe,46-65,female,tertiary,retired,medium,England,above moderate,service-user,procedural,moderate,UK-wide,False,False,0.95,Identity and Registration,Name and Gender Changes,Reverting to Original Name After Divorce,file:///media/volume/data4t/odi_datasets/scraped_content/target224.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target224.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target224.txt
21724,What is the purpose of the D9 form?,The D9 form is used to register a non-GB driving licence with the Driver and Vehicle Licensing Agency (DVLA). This is necessary if you live in the UK and drive a bus with 9 passenger seats or more or a vehicle weighing more than 3.5 tonnes. The form helps the DVLA maintain accurate records of drivers and ensures compliance with UK driving regulations. Always check the latest guidelines on the DVLA website to confirm if the form applies to your situation.,b8502b7190,under18,male,tertiary,student,medium,Wales,moderate,service-user,informational,low,UK-wide,False,False,0.95,Transport,Driving Licences,Registering Non-GB Driving Licence,file:///media/volume/data4t/odi_datasets/scraped_content/target1273.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1273.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1273.txt
12646,"I'm a teacher earning around £25,000 a year. How do I calculate how much Income Tax I should pay this tax year?","To calculate your Income Tax, you need to know your Personal Allowance, which is £12,570 for the 2025-2026 tax year. Any income above this amount is taxed at the basic rate of 20%. Since your income is £25,000, you'll pay tax on £12,430 (which is £25,000 minus £12,570). This means you'll pay 20% of £12,430, which is £2,486 in Income Tax for the year. You can check your tax code and how much you've already paid through your payslip or by contacting HMRC.",172fdcf791,46-65,male,secondary,teacher,low,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,tax,income tax,income tax calculation,file:///media/volume/data4t/odi_datasets/scraped_content/target2337.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2337.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2337.txt
17025,"I live in a council home in Wales and I'm considering buying it. Can I apply for the Right to Buy scheme with my spouse, who also lives with me but isn't part of the same tenancy?","Yes, you can apply for the Right to Buy scheme with your spouse even if they aren't part of the same tenancy. The scheme allows for joint applications with up to three family members who have lived with you for the past 12 months. This means your spouse can be included in the application as long as they meet the residency requirements. It's advisable to consult with your landlord to confirm if this applies to your situation and to understand the specific steps needed for a joint application.",24069bee7b,65+,male,secondary,retired,high,Wales,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,housing,council housing,Right to Buy,file:///media/volume/data4t/odi_datasets/scraped_content/target1844.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1844.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1844.txt
4661,What happens after I am approved as an appointee for someone receiving State Pension?,"After you are approved as an appointee for someone receiving State Pension, you will be sent Form BF57 confirming your formal appointment. You are not considered an appointee until you receive this form. Once appointed, the DWP will monitor the situation to ensure it remains suitable for both you and the claimant. You must continue to act in the claimant's best interests and inform the DWP of any changes affecting the claimant's benefits.",a72005c796,26-45,male,secondary,retail,high,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,benefits,appointee,appointee approval,file:///media/volume/data4t/odi_datasets/scraped_content/target183.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target183.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target183.txt
7056,I'm a small business owner in Scotland and I've been waiting for a payment from a client for over 60 days. What steps should I take to recover the debt and claim any interest accrued?,"Yes, you can claim interest and debt recovery costs if a client is late paying for goods or services. If you agreed a payment date, it must usually be within 30 days for public authorities or 60 days for business transactions. If you didn't agree a payment date, the payment is considered late 30 days after the client receives the invoice or after you deliver the goods or provide the service, whichever is later. You can make a court claim for the money owed, and you may also be able to claim interest on the overdue amount. It's advisable to send a formal reminder and keep records of all communications to support your claim.",e58aa49cee,26-45,female,tertiary,retail,medium,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,business,debt recovery,"court claims, debt and bankruptcy",file:///media/volume/data4t/odi_datasets/scraped_content/target2285.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2285.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2285.txt
3719,How can I find out if there is support for school uniform costs in Scotland?,"If you live in Scotland and cannot afford school uniform costs, you may be eligible for a school uniform grant. You should contact your local authority to find out more about the support available in your area. Schools in Scotland must ensure that the cost of uniforms is affordable and not a barrier to attending school. They should also provide information on buying second-hand uniforms to help reduce costs.",81323cded8,26-45,female,tertiary,teacher,low,England,above moderate,service-user,instructional,medium,UK-wide,False,False,0.95,education,school-uniforms,school-uniform-support-in-scotland,file:///media/volume/data4t/odi_datasets/scraped_content/target1531.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1531.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1531.txt
20472,I run a community amateur sports club in Wales and we recently started renting out our facilities for events. Do I need to pay tax on this income and what steps should I take to ensure compliance with HMRC regulations?,"Yes, if your club uses money for non-qualifying purposes like renting out facilities, you may need to pay tax. As a CASC, you must inform HMRC about any changes, including income sources. You should check if your taxable turnover exceeds £90,000, as this is the threshold for VAT registration. If it does, you must register for VAT. Additionally, ensure all income is used to promote eligible sports and report any changes to your club's details to HMRC.",5bfa21a832,65+,female,secondary,retail,medium,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,tax,charities,community amateur sports clubs,file:///media/volume/data4t/odi_datasets/scraped_content/target896.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target896.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target896.txt
7811,I'm the spouse of an armed forces member posted abroad and want to register to vote. What steps should I follow?,"As the spouse or civil partner of an armed forces member posted abroad, you can register to vote using the online service provided by the UK government. You'll need your service number and National Insurance number (if you have one). Your registration lasts up to 5 years, and you'll receive a reminder when it's time to renew. If you don't renew, you'll be removed from the register and need to register again. You can also apply for a postal or proxy vote after registration.",360ebac6bd,26-45,male,tertiary,retired,medium,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Electoral Registration,Armed Forces Voting,Voting Rights,file:///media/volume/data4t/odi_datasets/scraped_content/target2624.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2624.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2624.txt
1231,What documents do I need to bring to the Post Office for the criminal record check?,"To complete the criminal record check at the Post Office, you need to bring the printed copy of your online application with the barcodes and three original documents. These can be your passport, driving licence, a utility bill less than 3 months old, or a bank statement less than 3 months old. All documents must be originals, not copies. Bring these with you to the Post Office that offers the 'CRB and ID verification service'.",4c39d17bb8,18-25,female,secondary,student,low,Wales,moderate,service-user,informational,medium,UK-wide,False,False,0.95,Transport,Driving Instruction,Criminal Record Check for Driving Instructors,file:///media/volume/data4t/odi_datasets/scraped_content/target1391.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1391.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1391.txt
21941,Where can I find information about the licensing status of a company that operates buses in Wales?,"To find information about the licensing status of a company that operates buses in Wales, you can visit the Traffic Commissioner's website. They maintain a list of all licensed public service vehicle (PSV) operators, including those in Wales. If the company is listed, it means they have a valid licence. If not, you should contact the Traffic Commissioner for further details. This ensures that the company is authorised to operate and meets regulatory standards.",b1c50182ab,under18,male,tertiary,retired,high,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,Transport,Vehicle Licensing,Checking Vehicle Operator Licences,file:///media/volume/data4t/odi_datasets/scraped_content/target1340.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1340.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1340.txt
22305,I want to find out more about renting a council garage. How can I get information on this in Scotland?,"To find out more about renting a council garage in Scotland, you should contact your local council directly. They will have information on availability, application processes, and any associated costs. You can usually find contact details on your council's official website or by calling their customer service line. It's also worth checking if there are any online portals or forms that allow you to apply for a garage rental. Make sure to ask about any eligibility criteria or restrictions that may apply.",762fd5bc82,under18,female,secondary,retired,medium,Scotland,moderate,service-user,instructional,medium,UK-wide,False,False,0.9,transport,parking,council garages,file:///media/volume/data4t/odi_datasets/scraped_content/target1434.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1434.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1434.txt
9475,"After submitting my citizenship application, what should I expect and how long will it take to get a decision?","Once you submit your citizenship application, you'll receive a confirmation of receipt. The processing time can vary, but typically it takes several months. You'll be notified by post if your application is approved or rejected. If it's approved, you'll need to complete additional steps, such as attending an interview or providing further documentation. It's important to keep your contact details up to date with the Home Office to ensure you receive any updates. If your application is rejected, you may have the option to appeal or reapply.",a68eba46c4,26-45,female,secondary,student,low,Wales,moderate,service-user,instructional,medium,UK-wide,False,False,0.9,citizenship,application,citizenship application,file:///media/volume/data4t/odi_datasets/scraped_content/target873.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target873.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target873.txt
